ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
101,101,Sowmya Rao,73,14,5,10,2
102,102,Manjunath Poojary,72,4,2,1,1
103,103,Ashwini Hegde,66,20,2,8,2
104,104,Yallappa Rao,73,14,4,4,1
105,105,Yellamma Shetty,26,7,8,2,2
106,106,Anita Shetty,71,13,1,6,2
107,107,Umesh Rao,36,9,5,7,1
108,108,Ravi Yadav,45,2,1,1,1
109,109,Santosh Achar,71,17,6,6,1
110,110,Rajesh Shetty,34,18,7,4,1
111,111,Sunita Poojary,55,14,3,7,2
112,112,Naveen Yadav,39,17,3,7,1
113,113,Basavaraj Nayak,70,5,2,10,1
114,114,Deepa Achar,54,6,6,4,2
115,115,Manjunath Gowda,46,1,3,1,1
116,116,Rajesh Shetty,20,5,8,6,1
117,117,Shivakumar Desai,33,10,4,9,1
118,118,Siddappa Poojary,70,13,5,1,1
119,119,Kavya Yadav,28,1,2,2,2
120,120,Ashwini Naik,28,10,5,3,2
121,121,Manjunath Hegde,73,12,4,7,1
122,122,Ramesh Poojary,20,14,2,8,1
123,123,Girish Desai,45,13,6,8,1
124,124,Nagesh Rao,19,6,1,2,1
125,125,Meena Hegde,58,20,1,3,2
126,126,Ashwini Reddy,57,1,1,9,2
127,127,Girish Achar,42,4,4,1,1
128,128,Roopa Reddy,24,5,5,5,2
129,129,Geeta Naik,41,18,5,8,2
130,130,Rekha Bhat,44,7,5,3,2
131,131,Yallappa Achar,75,9,7,2,1
132,132,Shubha Poojary,32,16,7,8,2
133,133,Deepa Achar,39,20,2,10,2
134,134,Rekha Reddy,55,12,6,2,2
135,135,Shubha Yadav,21,17,5,10,2
136,136,Pooja Kulkarni,71,17,6,7,2
137,137,Basavaraj Patil,70,11,7,3,1
138,138,Manjula Naik,32,12,6,3,2
139,139,Ashwini Gowda,39,1,6,4,2
140,140,Priya Yadav,33,18,2,7,2
141,141,Geeta Bhat,32,4,5,10,2
142,142,Rajesh Yadav,60,14,7,6,1
143,143,Geeta Reddy,22,16,8,1,2
144,144,Rekha Naik,26,15,3,10,2
145,145,Sowmya Reddy,55,1,5,1,2
146,146,Mahesh Rao,27,13,1,9,1
147,147,Praveen Desai,20,3,8,2,1
148,148,Pooja Rao,39,12,7,2,2
149,149,Gowramma Kulkarni,22,13,5,8,2
150,150,Ashwini Achar,42,20,2,1,2
151,151,Suresh Achar,19,5,2,6,1
152,152,Manjula Patil,24,7,6,9,2
153,153,Hanumanth Achar,22,9,1,2,1
154,154,Vijay Naik,35,11,7,5,1
155,155,Prakash Kulkarni,48,4,3,6,1
156,156,Rajesh Yadav,73,14,8,2,1
157,157,Rajesh Hegde,61,16,5,6,1
158,158,Manjula Naik,35,10,2,6,2
159,159,Yallappa Desai,66,7,2,2,1
160,160,Sunita Reddy,19,7,8,7,2
161,161,Ramesh Naik,40,7,6,5,1
162,162,Roopa Achar,51,4,3,4,2
163,163,Sowmya Hegde,74,20,4,7,2
164,164,Manjunath Rao,46,6,5,10,1
165,165,Prakash Hegde,75,4,2,4,1
166,166,Mahesh Patil,36,1,8,9,1
167,167,Meena Rao,26,18,2,6,2
168,168,Geeta Patil,44,17,7,9,2
169,169,Sunita Hegde,36,12,2,1,2
170,170,Rekha Reddy,37,7,7,3,2
171,171,Renukamma Kulkarni,50,17,7,2,2
172,172,Basava Reddy,26,8,2,1,1
173,173,Rajesh Rao,34,3,2,5,1
174,174,Chandrashekar Nayak,64,13,7,7,1
175,175,Shivakumar Nayak,71,9,8,4,1
176,176,Girish Kumar,59,10,5,1,1
177,177,Nagesh Bhat,63,20,8,5,1
178,178,Nagesh Kumar,62,3,3,3,1
179,179,Anita Patil,19,16,7,6,2
180,180,Nagesh Rao,75,3,3,1,1
181,181,Gowramma Kulkarni,19,16,4,8,2
182,182,Suresh Achar,20,19,5,4,1
183,183,Prakash Poojary,25,4,5,6,1
184,184,Gowramma Nayak,41,18,5,8,2
185,185,Meena Hegde,19,12,5,6,2
186,186,Ashwini Rao,62,17,1,3,2
187,187,Manjula Desai,28,12,8,1,2
188,188,Rajesh Nayak,63,14,6,4,1
189,189,Girish Yadav,43,4,5,9,1
190,190,Renukamma Patil,35,12,6,7,2
191,191,Deepa Rao,31,2,6,10,2
192,192,Kiran Poojary,48,19,6,5,1
193,193,Ravi Hegde,62,5,8,3,1
194,194,Yellamma Desai,29,10,8,5,2
195,195,Vijay Gowda,48,2,4,5,1
196,196,Suresh Hegde,38,1,7,6,1
197,197,Suresh Rao,27,12,5,9,1
198,198,Manjunath Nayak,36,5,4,7,1
199,199,Vijay Reddy,21,16,6,4,1
200,200,Rekha Shetty,25,9,5,10,2
201,201,Shubha Kulkarni,46,11,3,4,2
202,202,Roopa Shetty,54,7,5,5,2
203,203,Vijay Kulkarni,59,15,3,7,1
204,204,Ashwini Patil,52,15,6,9,2
205,205,Anita Kumar,46,15,7,7,2
206,206,Lakshmi Yadav,54,1,7,2,2
207,207,Chandrashekar Yadav,38,8,6,3,1
208,208,Sunita Poojary,73,13,3,7,2
209,209,Mahesh Poojary,67,17,8,1,1
210,210,Suresh Rao,72,4,6,10,1
211,211,Vijay Kulkarni,49,11,1,2,1
212,212,Hanumanth Reddy,52,5,8,3,1
213,213,Yallappa Desai,73,5,5,5,1
214,214,Ramesh Kulkarni,63,7,2,2,1
215,215,Prakash Kulkarni,75,4,2,4,1
216,216,Basavaraj Hegde,20,17,8,7,1
217,217,Basavaraj Rao,44,16,3,4,1
218,218,Anita Achar,61,20,2,7,2
219,219,Basava Gowda,30,5,4,3,1
220,220,Ramesh Hegde,37,10,2,10,1
221,221,Meena Desai,36,13,7,2,2
222,222,Rekha Achar,46,5,1,5,2
223,223,Ashwini Kulkarni,43,1,5,1,2
224,224,Sunita Yadav,41,5,8,8,2
225,225,Lakshmi Patil,41,17,4,6,2
226,226,Renukamma Naik,30,5,6,10,2
227,227,Anita Nayak,73,5,5,5,2
228,228,Kavya Yadav,72,16,7,8,2
229,229,Rajesh Nayak,51,17,5,3,1
230,230,Meena Kulkarni,58,13,2,1,2
231,231,Siddappa Patil,33,4,2,8,1
232,232,Priya Poojary,33,8,2,3,2
233,233,Rekha Yadav,23,2,5,2,2
234,234,Siddappa Naik,47,12,1,3,1
235,235,Ashwini Nayak,47,13,3,10,2
236,236,Girish Rao,50,15,5,4,1
237,237,Siddappa Patil,46,17,4,2,1
238,238,Basava Desai,25,7,1,3,1
239,239,Santosh Poojary,45,19,2,6,1
240,240,Yallappa Nayak,65,17,8,4,1
241,241,Rajesh Achar,49,17,6,6,1
242,242,Manjunath Hegde,46,13,2,10,1
243,243,Prakash Poojary,52,10,2,2,1
244,244,Manjula Gowda,57,18,6,1,2
245,245,Vijay Yadav,72,9,7,6,1
246,246,Nagesh Rao,23,18,4,9,1
247,247,Sowmya Kulkarni,22,18,2,10,2
248,248,Deepa Desai,20,2,6,7,2
249,249,Geeta Kumar,75,2,3,4,2
250,250,Sunita Reddy,50,3,1,6,2
251,251,Kiran Kulkarni,66,20,2,9,1
252,252,Roopa Rao,65,2,2,1,2
253,253,Renukamma Reddy,60,12,7,8,2
254,254,Manjula Gowda,22,1,4,9,2
255,255,Lakshmi Bhat,49,2,7,7,2
256,256,Kiran Nayak,46,18,3,2,1
257,257,Ashwini Yadav,58,12,6,4,2
258,258,Rekha Yadav,22,8,4,2,2
259,259,Shivakumar Shetty,66,18,1,1,1
260,260,Suresh Naik,22,5,8,3,1
261,261,Sunita Kumar,41,20,4,5,2
262,262,Chandrashekar Shetty,49,4,2,2,1
263,263,Yellamma Reddy,50,12,4,8,2
264,264,Meena Poojary,54,10,4,9,2
265,265,Priya Nayak,53,17,2,1,2
266,266,Rekha Nayak,58,16,5,2,2
267,267,Prakash Achar,52,8,5,9,1
268,268,Basavaraj Kumar,65,5,1,4,1
269,269,Anita Naik,20,16,1,5,2
270,270,Sowmya Rao,71,3,1,5,2
271,271,Gowramma Gowda,74,13,7,8,2
272,272,Shivakumar Reddy,43,6,7,9,1
273,273,Yallappa Rao,21,18,6,1,1
274,274,Deepa Poojary,67,19,4,1,2
275,275,Rekha Achar,46,2,2,9,2
276,276,Pooja Achar,53,15,7,10,2
277,277,Shubha Shetty,48,8,3,1,2
278,278,Deepa Naik,34,18,5,6,2
279,279,Sunita Kulkarni,36,12,5,5,2
280,280,Basavaraj Rao,55,11,5,3,1
281,281,Anita Gowda,47,1,8,1,2
282,282,Gowramma Desai,73,18,4,7,2
283,283,Rajesh Naik,36,20,6,2,1
284,284,Shubha Rao,68,9,5,8,2
285,285,Shivakumar Desai,30,5,1,4,1
286,286,Basava Gowda,30,17,8,10,1
287,287,Sunita Bhat,64,8,1,5,2
288,288,Lakshmi Desai,73,12,1,10,2
289,289,Santosh Naik,23,17,8,2,1
290,290,Shivakumar Reddy,39,19,6,7,1
291,291,Basava Shetty,75,10,3,1,1
292,292,Meena Kumar,45,12,8,5,2
293,293,Nagesh Kumar,21,10,3,10,1
294,294,Basavaraj Kulkarni,32,11,6,4,1
295,295,Sunita Desai,65,5,7,2,2
296,296,Shivakumar Kulkarni,51,19,7,9,1
297,297,Umesh Poojary,22,20,8,9,1
298,298,Priya Rao,31,19,5,4,2
299,299,Manjula Poojary,68,12,4,8,2
300,300,Ashwini Nayak,34,15,7,6,2
301,301,Santosh Bhat,51,3,6,8,1
302,302,Mahesh Poojary,45,8,3,9,1
303,303,Kiran Desai,56,5,5,5,1
304,304,Priya Naik,24,14,7,9,2
305,305,Rajesh Hegde,59,7,3,8,1
306,306,Nagesh Naik,45,9,8,2,1
307,307,Suresh Achar,46,1,3,2,1
308,308,Umesh Achar,52,13,7,6,1
309,309,Naveen Nayak,54,8,5,2,1
310,310,Priya Kulkarni,57,20,2,1,2
311,311,Siddappa Yadav,41,15,7,8,1
312,312,Pooja Poojary,49,5,3,10,2
313,313,Prakash Yadav,19,19,6,8,1
314,314,Priya Hegde,30,17,5,2,2
315,315,Vijay Hegde,40,2,7,5,1
316,316,Sowmya Kumar,67,6,3,1,2
317,317,Kiran Bhat,36,19,6,2,1
318,318,Pooja Patil,26,10,5,8,2
319,319,Manjula Yadav,29,10,5,10,2
320,320,Shivakumar Desai,36,5,2,4,1
321,321,Ravi Kulkarni,21,18,4,1,1
322,322,Lakshmi Kumar,32,10,7,8,2
323,323,Mahesh Rao,26,4,8,7,1
324,324,Deepa Naik,74,5,5,2,2
325,325,Kavya Nayak,69,8,2,6,2
326,326,Umesh Kumar,36,15,2,6,1
327,327,Kiran Naik,64,17,6,4,1
328,328,Basava Desai,19,8,3,10,1
329,329,Manjula Desai,31,9,8,3,2
330,330,Shubha Nayak,50,10,3,4,2
331,331,Umesh Achar,65,7,1,7,1
332,332,Ramesh Bhat,58,7,3,1,1
333,333,Deepa Kulkarni,43,19,4,6,2
334,334,Renukamma Desai,30,10,4,5,2
335,335,Gowramma Poojary,59,13,6,9,2
336,336,Pooja Naik,33,4,5,7,2
337,337,Priya Reddy,61,14,2,3,2
338,338,Priya Desai,26,12,7,3,2
339,339,Gowramma Kulkarni,45,8,1,5,2
340,340,Renukamma Reddy,75,14,1,9,2
341,341,Deepa Desai,39,14,7,8,2
342,342,Sowmya Rao,22,9,8,4,2
343,343,Sunita Rao,47,14,4,10,2
344,344,Dinesh Reddy,68,4,6,3,1
345,345,Siddappa Gowda,70,13,2,6,1
346,346,Yellamma Naik,60,2,4,6,2
347,347,Nagesh Achar,53,13,4,5,1
348,348,Santosh Kumar,45,7,4,1,1
349,349,Ravi Poojary,52,4,7,8,1
350,350,Nagesh Rao,38,1,4,4,1
351,351,Anand Nayak,26,13,7,3,1
352,352,Kavya Naik,23,17,7,1,2
353,353,Siddappa Achar,53,20,3,2,1
354,354,Geeta Achar,57,10,6,7,2
355,355,Vijay Rao,48,7,2,5,1
356,356,Sowmya Rao,46,3,4,7,2
357,357,Gowramma Rao,63,18,4,7,2
358,358,Ramesh Nayak,44,12,2,8,1
359,359,Rajesh Gowda,44,8,8,6,1
360,360,Ashwini Desai,38,11,3,2,2
361,361,Dinesh Patil,32,16,4,2,1
362,362,Naveen Kulkarni,72,16,4,1,1
363,363,Deepa Shetty,38,11,3,1,2
364,364,Rekha Achar,19,9,4,9,2
365,365,Yellamma Hegde,39,8,6,8,2
366,366,Renukamma Bhat,73,3,2,7,2
367,367,Naveen Patil,67,1,3,9,1
368,368,Nagesh Reddy,47,4,1,7,1
369,369,Shubha Desai,70,17,8,3,2
370,370,Sowmya Gowda,37,4,7,5,2
371,371,Renukamma Kumar,58,12,3,3,2
372,372,Renukamma Desai,32,20,6,9,2
373,373,Gowramma Hegde,32,11,3,3,2
374,374,Lakshmi Kumar,45,6,3,8,2
375,375,Ravi Rao,63,7,4,2,1
376,376,Priya Naik,22,20,8,10,2
377,377,Manjunath Kumar,59,18,4,6,1
378,378,Girish Rao,37,14,5,6,1
379,379,Deepa Bhat,53,7,2,10,2
380,380,Basavaraj Nayak,32,9,3,5,1
381,381,Prakash Poojary,52,19,7,6,1
382,382,Gowramma Reddy,29,1,4,4,2
383,383,Chandrashekar Patil,28,6,8,1,1
384,384,Kavya Yadav,22,5,8,7,2
385,385,Priya Rao,51,4,4,9,2
386,386,Sowmya Poojary,43,16,6,5,2
387,387,Renukamma Naik,75,20,4,3,2
388,388,Roopa Achar,46,18,8,8,2
389,389,Ashwini Bhat,46,12,3,1,2
390,390,Anita Poojary,61,12,7,4,2
391,391,Naveen Kumar,30,1,4,8,1
392,392,Renukamma Reddy,19,19,5,6,2
393,393,Santosh Yadav,35,17,1,10,1
394,394,Sunita Desai,36,16,7,1,2
395,395,Deepa Desai,22,19,1,8,2
396,396,Gowramma Patil,49,18,2,1,2
397,397,Lakshmi Kulkarni,64,5,3,3,2
398,398,Kiran Achar,73,4,1,8,1
399,399,Praveen Naik,73,18,5,4,1
400,400,Praveen Achar,62,11,3,10,1
401,401,Renukamma Gowda,61,13,7,1,2
402,402,Girish Achar,67,17,3,5,1
403,403,Nagesh Hegde,21,9,4,9,1
404,404,Shubha Desai,66,1,5,5,2
405,405,Ashwini Kumar,48,19,2,10,2
406,406,Kavya Naik,24,6,2,3,2
407,407,Lakshmi Poojary,29,1,4,6,2
408,408,Kavya Yadav,65,8,5,4,2
409,409,Vijay Gowda,43,10,3,5,1
410,410,Rajesh Kumar,45,8,4,5,1
411,411,Nagesh Rao,35,15,5,2,1
412,412,Meena Kulkarni,42,12,8,3,2
413,413,Rajesh Shetty,28,18,4,7,1
414,414,Pooja Reddy,40,17,5,2,2
415,415,Anand Reddy,48,9,1,2,1
416,416,Ramesh Patil,48,19,6,6,1
417,417,Sunita Kumar,63,4,6,1,2
418,418,Kiran Hegde,40,11,2,3,1
419,419,Pooja Patil,48,18,3,1,2
420,420,Anita Kulkarni,55,14,7,8,2
421,421,Anand Nayak,42,20,6,8,1
422,422,Pooja Gowda,75,8,2,7,2
423,423,Deepa Kulkarni,44,19,1,3,2
424,424,Vijay Yadav,57,17,4,10,1
425,425,Prakash Desai,40,2,2,5,1
426,426,Santosh Hegde,44,6,8,1,1
427,427,Girish Yadav,30,10,5,2,1
428,428,Shivakumar Achar,32,14,2,4,1
429,429,Yallappa Bhat,73,12,1,8,1
430,430,Santosh Naik,49,18,7,4,1
431,431,Sowmya Achar,48,8,2,7,2
432,432,Praveen Poojary,27,13,6,5,1
433,433,Sowmya Bhat,23,12,8,10,2
434,434,Shivakumar Yadav,57,6,4,6,1
435,435,Priya Bhat,71,1,7,2,2
436,436,Prakash Hegde,31,2,4,5,1
437,437,Kavya Kumar,43,6,7,3,2
438,438,Pooja Shetty,62,16,1,5,2
439,439,Shubha Patil,44,17,2,8,2
440,440,Santosh Desai,65,4,7,1,1
441,441,Praveen Patil,55,17,7,8,1
442,442,Ramesh Desai,61,13,7,1,1
443,443,Rekha Rao,66,4,8,9,2
444,444,Gowramma Nayak,40,18,6,2,2
445,445,Kiran Bhat,67,13,2,3,1
446,446,Praveen Yadav,64,19,5,4,1
447,447,Rekha Gowda,48,10,1,2,2
448,448,Anita Kumar,22,20,6,5,2
449,449,Priya Desai,37,1,5,3,2
450,450,Meena Shetty,20,15,6,5,2
451,451,Chandrashekar Naik,41,2,7,4,1
452,452,Manjunath Bhat,25,5,3,8,1
453,453,Deepa Kumar,48,20,4,9,2
454,454,Sunita Naik,39,12,1,3,2
455,455,Naveen Bhat,65,3,6,5,1
456,456,Sowmya Gowda,30,9,2,7,2
457,457,Girish Kulkarni,35,10,4,1,1
458,458,Gowramma Reddy,67,14,5,3,2
459,459,Renukamma Desai,21,20,7,3,2
460,460,Deepa Gowda,45,7,1,7,2
461,461,Anand Rao,48,20,6,2,1
462,462,Shivakumar Gowda,64,11,4,2,1
463,463,Anita Kulkarni,45,20,6,9,2
464,464,Gowramma Yadav,54,1,6,6,2
465,465,Meena Achar,47,5,8,8,2
466,466,Dinesh Nayak,29,13,5,7,1
467,467,Yallappa Achar,55,3,8,9,1
468,468,Kavya Reddy,66,17,6,5,2
469,469,Priya Hegde,62,15,1,3,2
470,470,Chandrashekar Kumar,55,14,7,1,1
471,471,Yellamma Nayak,50,8,7,9,2
472,472,Naveen Kulkarni,73,4,2,7,1
473,473,Girish Naik,55,10,3,3,1
474,474,Yellamma Shetty,41,7,7,10,2
475,475,Priya Poojary,42,4,6,9,2
476,476,Manjula Achar,44,16,8,5,2
477,477,Shubha Yadav,74,6,7,5,2
478,478,Dinesh Achar,40,15,3,2,1
479,479,Rekha Shetty,45,7,1,10,2
480,480,Prakash Kulkarni,58,17,2,10,1
481,481,Lakshmi Kumar,58,8,3,10,2
482,482,Kavya Kumar,20,20,7,9,2
483,483,Nagesh Hegde,42,8,3,8,1
484,484,Praveen Patil,37,3,1,4,1
485,485,Anita Reddy,62,20,8,4,2
486,486,Mahesh Bhat,60,4,6,3,1
487,487,Mahesh Nayak,23,1,1,7,1
488,488,Sowmya Naik,69,14,5,9,2
489,489,Hanumanth Poojary,57,18,1,8,1
490,490,Sunita Rao,70,13,1,6,2
491,491,Renukamma Desai,60,15,7,2,2
492,492,Prakash Achar,35,19,2,3,1
493,493,Rekha Desai,40,5,4,8,2
494,494,Anand Naik,40,3,8,8,1
495,495,Anand Kumar,37,15,6,8,1
496,496,Deepa Kulkarni,21,5,3,9,2
497,497,Lakshmi Reddy,75,12,6,5,2
498,498,Shubha Kulkarni,59,10,8,8,2
499,499,Roopa Nayak,70,5,3,10,2
500,500,Sowmya Rao,59,8,1,4,2
